name,degree,EffectiveSize,Constraint,effciency,hierarhcy,degreeCentrality,closeness,Eigenvector,informationCentrality,betweenCentrality,size,ties,pairs,density,twostepReach,ReachEffic,Broker,nBrock,EgoBetw,nEgoBetw,nWeakComp,pWeakComp,number_of-nodes,number_of_edges,density,inwardlink,outwardlink,inward_type,outward_type,inward_cross,outward_cross,number_alllink,number_alltype,number_allcross,priority,hasComment,length,averfixtime_priority,all_open,7days_open,30days_open,halfYear_open,oneYear_open,all_fix,7days_fix,30days_fix,halfYear_fix,OneYear_fix,avefixtime,avefixtime_7day,avefixtime_30day,avefixtime_halfYear,avefixtime_OneYear,overall_popularity,recent_popularity,relative_popularity,reporter_mean_fix_time,open_bug_reporter,time_diff
HIVE-253,1,1,1,1,1,1,0,0.001410436,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,0,1,0,1,0,0,1,1,0,0,1,76,2.520046296,6,3,6,6,6,13,4,13,13,13,2.660992699,5.193217593,2.660992699,2.660992699,2.660992699,0.333333333,0.333333333,1,1.592986111,2,49.88199074
HIVE-255,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,55,0,7,4,7,7,7,13,4,13,13,13,2.660992699,5.193217593,2.660992699,2.660992699,2.660992699,1,1,1,1.074020833,0,12.09284722
HIVE-256,1,0,0,0,1,1,1,0.999999005,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,1,0,1,0,0,0,1,1,0,3,1,30,1.853462095,8,5,8,8,8,13,3,13,13,13,2.660992699,2.257862654,2.660992699,2.660992699,2.660992699,0,0,0,0,0,0.166180556
HIVE-257,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,41,1.853462095,9,6,9,9,9,13,3,13,13,13,2.660992699,2.257862654,2.660992699,2.660992699,2.660992699,0,0,0,0,0,0.093796296
HIVE-262,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,50,2.520046296,8,4,8,8,8,15,4,15,15,15,2.323525463,1.689947917,2.323525463,2.323525463,2.323525463,1,1,1,0.166180556,0,4.979189815
HIVE-263,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,59,1.508767361,9,5,9,9,9,15,4,15,15,15,2.323525463,1.689947917,2.323525463,2.323525463,2.323525463,0.25,0.25,1,1.592986111,3,3.027337963
HIVE-264,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,26,1.508767361,9,5,9,9,9,16,5,16,16,16,3.220126591,4.685787037,3.220126591,3.220126591,3.220126591,0.4,0.4,1,9.131064815,3,3.840810185
HIVE-271,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,58,1.646819234,8,1,8,8,8,18,5,18,18,18,3.307141847,4.98712963,3.307141847,3.307141847,3.307141847,1,1,1,2.520046296,0,0.079953704
HIVE-273,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,20,8.056126543,8,1,8,8,8,19,6,19,19,19,3.137289839,4.169266975,3.137289839,3.137289839,3.137289839,1,1,1,1.3,0,5.881458333
HIVE-276,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,60,1.516247106,9,2,9,9,9,19,4,19,19,19,3.137289839,6.18890625,3.137289839,3.137289839,3.137289839,0.5,0.5,1,7.096489198,3,13.25634259
HIVE-283,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,15,1.695059651,8,2,8,8,8,21,5,18,21,21,3.597245922,4.804027778,4.001496271,3.597245922,3.597245922,0,0,0,0,0,3.004513889
HIVE-285,1,0,0,0,1,1,1,0.999999005,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,1,0,1,0,0,0,1,1,0,3,1,138,1.695059651,9,3,9,9,9,21,5,18,21,21,3.597245922,4.804027778,4.001496271,3.597245922,3.597245922,0.571428571,0.571428571,1,6.282569444,3,36.69454861
HIVE-286,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,27,7.512459491,9,3,8,9,9,22,3,17,22,22,3.701073758,7.271705247,4.432075844,3.701073758,3.701073758,1,1,1,5.956049383,0,23.96166667
HIVE-287,1,0,0,0,1,1,1,0.999999005,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,1,0,1,0,0,0,1,1,0,3,1,22,1.695059651,10,4,9,10,10,22,3,17,22,22,3.701073758,7.271705247,4.432075844,3.701073758,3.701073758,1,1,1,2.572685185,0,514.2453704
HIVE-294,2,2,0.5,1,1,1,0,0.001451963,0,0,3,2,6,0.333333333,0,0,0,0,0,0,2,0.666666667,3,2,1.333333333,0,3,0,2,0,0,3,2,0,3,1,31,1.788592097,10,2,8,10,10,23,1,15,23,23,3.670788547,3.004513889,4.974683642,3.670788547,3.670788547,0.5,0.5,1,6.282569444,4,4.318298611
HIVE-296,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,212,2.553108796,10,1,7,10,10,24,1,14,24,24,4.070186632,13.25634259,4.990368717,4.070186632,4.070186632,1,1,1,3.004513889,0,299.8031019
HIVE-299,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,6,2.66343316,10,1,7,10,10,25,2,14,25,25,4.080111111,8.787320602,5.279263393,4.080111111,4.080111111,0,0,0,0,0,31.12451389
HIVE-302,1,0,0,0,1,1,1,0.999999005,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,1,0,1,0,0,0,1,1,0,3,1,40,2.66343316,11,2,7,11,11,25,2,14,25,25,4.080111111,8.787320602,5.279263393,4.080111111,4.080111111,0.75,0.75,1,5.956049383,1,301.2628009
HIVE-307,1,0,0,0,1,1,1,0.999999005,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,1,0,1,0,0,0,1,1,0,4,1,37,4.311290509,12,3,7,12,12,25,2,14,25,25,4.080111111,8.787320602,5.279263393,4.080111111,4.080111111,0.666666667,0.666666667,1,7.117486497,3,596.2765625
HIVE-308,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,87,7.512459491,13,4,8,13,13,25,1,12,25,25,4.080111111,4.318298611,5.61748939,4.080111111,4.080111111,0.6,0.6,1,7.117486497,4,11.13741898
