name,degree,EffectiveSize,Constraint,effciency,hierarhcy,degreeCentrality,closeness,Eigenvector,informationCentrality,betweenCentrality,size,ties,pairs,density,twostepReach,ReachEffic,Broker,nBrock,EgoBetw,nEgoBetw,nWeakComp,pWeakComp,number_of-nodes,number_of_edges,density,inwardlink,outwardlink,inward_type,outward_type,inward_cross,outward_cross,number_alllink,number_alltype,number_allcross,priority,hasComment,length,averfixtime_priority,all_open,7days_open,30days_open,halfYear_open,oneYear_open,all_fix,7days_fix,30days_fix,halfYear_fix,OneYear_fix,avefixtime,avefixtime_7day,avefixtime_30day,avefixtime_halfYear,avefixtime_OneYear,overall_popularity,recent_popularity,relative_popularity,reporter_mean_fix_time,open_bug_reporter,time_diff
HDFS-415,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,93,0,26,5,9,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.98447917
HDFS-438,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,122,0,21,1,5,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1580787
HDFS-439,2,2,0.5,1,1,1,0.5,0.002441988,0,0.5,3,2,6,0.333333333,0,0,0,0,1,0.333333333,2,0.666666667,3,2,1.333333333,1,1,1,1,0,1,2,2,1,0,1,29,0,27,5,9,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21.05759259
HDFS-440,2,0,0,0,1,1,1,0.999999253,0,0,3,2,6,0.333333333,0,0,0,0,0,0,2,0.666666667,3,2,1.333333333,2,0,2,0,1,0,2,2,1,3,1,76,26.28775463,26,3,9,26,26,2,2,2,2,2,26.28775463,26.28775463,26.28775463,26.28775463,26.28775463,0,0,0,0,4,6.785439815
HDFS-441,2,2,0.5,1,1,1,0,0.001451963,0,0,3,2,6,0.333333333,0,0,0,0,0,0,2,0.666666667,3,2,1.333333333,0,2,0,1,0,2,2,1,2,3,1,129,26.28775463,27,4,10,27,27,2,2,2,2,2,26.28775463,26.28775463,26.28775463,26.28775463,26.28775463,0,0,0,0,5,6.770173611
HDFS-442,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,84,0,28,4,11,28,28,2,2,2,2,2,26.28775463,26.28775463,26.28775463,26.28775463,26.28775463,0,0,0,0,0,944.9939699
HDFS-445,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,47,20.04587577,27,4,10,27,27,4,4,4,4,4,18.3239265,18.3239265,18.3239265,18.3239265,18.3239265,1,1,1,7.562118056,0,19.91297454
HDFS-446,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,31,13.1580787,28,5,11,28,28,4,4,4,4,4,18.3239265,18.3239265,18.3239265,18.3239265,18.3239265,0,0,0,0,0,19.01954861
HDFS-448,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,91,20.04587577,29,6,12,29,29,4,4,4,4,4,18.3239265,18.3239265,18.3239265,18.3239265,18.3239265,0,0,0,0,1,1854.652523
HDFS-450,1,0,0,0,1,1,1,0.999999005,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,1,0,1,0,1,0,1,1,1,3,1,54,20.04587577,30,7,12,30,30,4,4,4,4,4,18.3239265,18.3239265,18.3239265,18.3239265,18.3239265,0,0,0,0,2,1853.79662
