name,degree,EffectiveSize,Constraint,effciency,hierarhcy,degreeCentrality,closeness,Eigenvector,informationCentrality,betweenCentrality,size,ties,pairs,density,twostepReach,ReachEffic,Broker,nBrock,EgoBetw,nEgoBetw,nWeakComp,pWeakComp,number_of-nodes,number_of_edges,density,inwardlink,outwardlink,inward_type,outward_type,inward_cross,outward_cross,number_alllink,number_alltype,number_allcross,priority,hasComment,length,averfixtime_priority,all_open,7days_open,30days_open,halfYear_open,oneYear_open,all_fix,7days_fix,30days_fix,halfYear_fix,OneYear_fix,avefixtime,avefixtime_7day,avefixtime_30day,avefixtime_halfYear,avefixtime_OneYear,overall_popularity,recent_popularity,relative_popularity,reporter_mean_fix_time,open_bug_reporter,time_diff
YARN-47,1,1,1,1,1,1,0,0.001410436,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,0,1,0,1,0,1,1,1,1,3,1,18,77.36722222,24,5,10,18,24,8,2,8,8,8,57.02874277,36.30740741,57.02874277,57.02874277,57.02874277,0,0,0,0,2,978.1960185
YARN-53,1,0,0,0,1,1,1,0.999999005,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,1,0,1,0,1,0,1,1,1,3,1,83,0,12,1,2,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.2023727
YARN-58,3,3,0.333333333,1,1,1,0.333333333,0.002364886,0,0.333333333,4,3,12,0.25,0,0,0,0,2,0.5,3,0.75,4,3,2.25,1,2,1,1,1,1,3,2,2,4,1,21,0,15,1,4,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.12864583
YARN-63,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,28,63.35710648,24,3,10,18,24,9,2,9,9,9,51.50517618,23.65206019,51.50517618,51.50517618,51.50517618,0.666666667,0.666666667,1,22.93980903,1,1.016134259
YARN-66,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,59,37.07311921,25,4,11,19,25,9,2,9,9,9,51.50517618,23.65206019,51.50517618,51.50517618,51.50517618,0.333333333,0.333333333,1,43.25777199,4,0.946597222
YARN-68,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,184,52.96694444,25,3,11,19,25,10,3,10,10,10,46.45627199,16.10675154,46.45627199,46.45627199,46.45627199,0,0,0,0,0,5.060462963
YARN-71,7,7,0.142857143,1,1,0.875,0.28125,0.003431286,0,0.267857143,8,7,56,0.125,0,0,0,0,10,1.25,7,0.875,9,8,7.111111111,2,5,2,3,0,0,7,5,0,4,1,38,0,4,0,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,397.9640741
YARN-72,5,5,0.2,1,1,0.454545455,0,2.38E-06,0,0,6,5,30,0.166666667,6,1,0,0,0,0,5,0.833333333,12,11,10.08333333,0,5,0,4,0,0,5,4,0,3,1,77,0,5,1,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,285.4191319
YARN-75,1,1,1,1,1,1,0,0.001410436,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,0,1,0,1,0,1,1,1,1,3,1,69,52.96694444,25,3,11,19,25,11,4,11,11,11,42.31902883,12.31671296,42.31902883,42.31902883,42.31902883,0,0,0,0,0,6.135046296
YARN-78,2,0,0,0,1,0.666666667,0.75,0.999996044,0,0,3,2,6,0.333333333,0,0,0,0,0,0,2,0.666666667,4,3,2.25,2,0,1,0,0,0,2,1,0,3,1,21,52.96694444,26,3,12,20,26,11,4,11,11,11,42.31902883,12.31671296,42.31902883,42.31902883,42.31902883,0,0,0,0,2,8.893888889
