name,degree,EffectiveSize,Constraint,effciency,hierarhcy,degreeCentrality,closeness,Eigenvector,informationCentrality,betweenCentrality,size,ties,pairs,density,twostepReach,ReachEffic,Broker,nBrock,EgoBetw,nEgoBetw,nWeakComp,pWeakComp,number_of-nodes,number_of_edges,density,inwardlink,outwardlink,inward_type,outward_type,inward_cross,outward_cross,number_alllink,number_alltype,number_allcross,priority,hasComment,length,averfixtime_priority,all_open,7days_open,30days_open,halfYear_open,oneYear_open,all_fix,7days_fix,30days_fix,halfYear_fix,OneYear_fix,avefixtime,avefixtime_7day,avefixtime_30day,avefixtime_halfYear,avefixtime_OneYear,overall_popularity,recent_popularity,relative_popularity,reporter_mean_fix_time,open_bug_reporter,time_diff
SPARK-632,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,132,14.13290509,15,3,8,15,15,4,0,3,4,4,14.13290509,0,18.84307485,14.13290509,14.13290509,0,0,0,0,0,703.8949884
SPARK-638,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,52,11.57179977,14,1,5,14,14,6,2,4,6,6,11.57179977,6.44958912,17.12186921,11.57179977,11.57179977,0.125,0.125,1,26.60133102,7,0.044375
SPARK-641,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,46,0,14,1,5,14,14,7,3,5,7,7,9.925024802,4.314517747,13.70637037,9.925024802,9.925024802,0.222222222,0.222222222,1,13.32285301,7,112.4027083
SPARK-642,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,60,0,15,2,6,15,15,7,3,5,7,7,9.925024802,4.314517747,13.70637037,9.925024802,9.925024802,0.2,0.2,1,13.32285301,8,112.3750926
SPARK-643,1,1,1,1,1,1,0,0.001410436,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,0,1,0,1,0,0,1,1,0,3,1,336,9.925024802,16,2,6,16,16,7,3,5,7,7,9.925024802,4.314517747,13.70637037,9.925024802,9.925024802,0.181818182,0.181818182,1,13.32285301,9,691.9266667
SPARK-644,1,0,0,0,1,1,1,0.999999005,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,1,0,1,0,0,0,1,1,0,3,1,174,9.925024802,17,3,7,17,17,7,0,5,7,7,9.925024802,0,13.70637037,9.925024802,9.925024802,0.166666667,0.166666667,1,13.32285301,10,685.7349653
SPARK-645,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,52,0,18,1,8,18,18,7,0,4,7,7,9.925024802,0,9.886221065,9.925024802,9.925024802,0,0,0,0,0,0.262673611
SPARK-646,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,281,9.925024802,18,0,7,18,18,8,1,4,8,8,8.717230903,0.262673611,3.301556713,8.717230903,8.717230903,0.153846154,0.153846154,1,13.32285301,11,220.225625
SPARK-647,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,79,9.925024802,19,0,5,19,19,8,0,3,8,8,8.717230903,0,3.971234568,8.717230903,8.717230903,0,0,0,0,0,2.788020833
SPARK-648,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,100,0,20,1,6,20,20,8,0,3,8,8,8.717230903,0,3.971234568,8.717230903,8.717230903,0.142857143,0.142857143,1,13.32285301,12,210.3258681
